WHITE_USERNAME,WHITE_ELO,WHITE_RESULT,WHITE_ACCURACY,BLACK_USERNAME,BLACK_ELO,BLACK_RESULT,BLACK_ACCURACY,TIME_CONTROL,TIME_CLASS,DATE_TIME,RATED,OPENING
ManuDavid2910,3063,resigned,79.23,MagnusCarlsen,3245,win,89.85,180,blitz,2025-06-10T11:58:31,True,Sicilian Defense 2.Nf3 d6 3.Nc3 e5 4.Bc4
MagnusCarlsen,3249,win,85.92,ManuDavid2910,3059,resigned,79.68,180,blitz,2025-06-10T12:03:38,True,Queens Pawn Opening Chigorin Variation 2...e6 3.Bf4
ManuDavid2910,3055,timeout,81.58,MagnusCarlsen,3253,win,81.57,180,blitz,2025-06-10T12:10:23,True,French Defense Exchange Variation...5.c4 Nf6 6.Nc3 O-O 7.cxd5
MagnusCarlsen,3257,win,86.69,ManuDavid2910,3051,resigned,76.48,180,blitz,2025-06-10T12:12:33,True,Alapin Sicilian Defense...4.exd5 exd5 5.Nf3 Nc6 6.Be3
ManuDavid2910,3047,resigned,79.55,MagnusCarlsen,3261,win,87.67,180,blitz,2025-06-10T12:18:23,True,Nimzowitsch Defense Declined Williams Variation 3.d4 Nf6 4.Nc3 g6
MagnusCarlsen,3265,win,84.09,ManuDavid2910,3043,timeout,79.61,180,blitz,2025-06-10T12:24:58,True,Sicilian Defense McDonnell Attack...3.d3 e6 4.Nf3 d5
ManuDavid2910,3039,resigned,87.33,MagnusCarlsen,3269,win,95.77,180,blitz,2025-06-10T12:28:08,True,Italian Game...6.Nc3 Be7 7.O-O-O-O
MagnusCarlsen,3272,win,96.22,ManuDavid2910,3036,resigned,93.39,180,blitz,2025-06-10T12:34:13,True,French Defense Tarrasch Open Delayed Exchange Variation 5.Ngf3 Nf6 6.Bb5 Nc6 7.O-O
ManuDavid2910,3033,resigned,84.78,MagnusCarlsen,3275,win,91.18,180,blitz,2025-06-10T12:37:55,True,Alapin Sicilian Defense...6.Nf3 b6 7.Bd3 Bb7
MagnusCarlsen,3278,win,91.17,ManuDavid2910,3030,resigned,85.02,180,blitz,2025-06-10T12:42:50,True,Tarrasch Defense Two Knights Variation 5...Nf6 6.Bg5
Emp3rador,2568,resigned,82.36,MagnusCarlsen,3278,win,88.39,180+1,blitz,2025-06-10T15:05:43,True,Scotch Game Malaniuk Variation 5.c3 Bc5 6.Be3 Bb6
MagnusCarlsen,3279,win,93.9,yaghi31,2703,checkmated,79.11,180+1,blitz,2025-06-10T15:15:34,True,Bishops Opening Berlin Defense 3.d3 c6 4.Qe2 Be7
BirdMaster3000,2855,timeout,86.24,MagnusCarlsen,3280,win,83.48,180+1,blitz,2025-06-10T15:31:41,True,Birds Opening
MagnusCarlsen,3282,win,91.83,shimastream,2957,timeout,86.45,180+1,blitz,2025-06-10T15:42:29,True,Queens Gambit Accepted Central Variation McDonnell Defense 4.Nf3 Bb4 5.Nc3
BogdanDeac,3094,timeout,93.13,MagnusCarlsen,3286,win,89.65,180+1,blitz,2025-06-10T16:00:49,True,Bogo Indian Defense Wade Smyslov Variation 5.g3 O-O 6.Bg2 d5 7.Qc2
MagnusCarlsen,3291,win,85.11,Zhuu96,3140,resigned,81.3,180+1,blitz,2025-06-10T16:12:40,True,Petrovs Defense Classical Variation 3...d6
GHANDEEVAM2003,3148,resigned,86.91,MagnusCarlsen,3296,win,92.41,180+1,blitz,2025-06-10T16:22:05,True,English Opening Caro Kann Defensive System...5.Bb2 Nbd7 6.h3 Bh5
MagnusCarlsen,3302,win,97.01,DenLaz,3186,resigned,91.16,180+1,blitz,2025-06-10T16:32:04,True,Queens Gambit Declined Catalan Opening...11.Nc3 h6 12.Bxf6 Nxf6
HansOnTwitch,3250,win,88.72,MagnusCarlsen,3293,timeout,83.45,180+1,blitz,2025-06-10T16:48:51,True,Italian Game Two Knights Modern Bishops Opening 4...Be7 5.Nc3 O-O
MagnusCarlsen,3298,win,87.89,Sargsyan_Shant,3131,resigned,79.55,180+1,blitz,2025-06-10T16:56:08,True,Modern Defense Norwegian Rat
jefferyx,3138,timeout,88.6,MagnusCarlsen,3303,win,92.34,180+1,blitz,2025-06-10T17:11:06,True,Semi Slav Defense Main Line Stoltz Center Variation...9.Qxe4 Bb4 10.Bd2 Bxd2 11.Nxd2
angryhorse9,2584,resigned,88.87,MagnusCarlsen,3303,win,92.58,180+1,blitz,2025-06-10T20:06:08,True,English Opening
MagnusCarlsen,3304,win,94.95,slidingknight2775,2771,timeout,88.71,180+1,blitz,2025-06-10T20:15:26,True,English Opening Neo Catalan Defense Declined 5.O-O-O-O 6.d3 c5
